FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
DONE,DATE,ATTENDEES,ITEMS / PROJ,DETAILS (RED PRIORITY),OWNER (OF ACTION IN THE PLANT),ACTION TO BE TAKEN,ACTION DUE DATE,PROJ DUE DATE,ISSUE / CAUSE OF DELAY,REMARKS,LINK,DAYS DUE
FALSE,,,Batch-type Oven Area,For insulation; for quotation,,"260306 - For estimation of insulation; paint and insulation.
260318 - Test Thermal scanning on roofing
260325 - Cooling paint applied to roof; for inspection after a week
260327 - For monitoring of temperature changes; Outside Temperature: 33°C; Initial Temperature: 64°C side w/o Paint, 57°C side w/ Paint
260401 - painting of roof done; Outside Temperature: 35°C, inside batch-type temp 60-63°C
260408 - painting of roof done; Outside Temperature: 35°C, inside batch-type temp 61-65°C
260415 - research for alternative methods to insulation
260422 - research for alternative methods to insulation",2026-04-29,,,,,
FALSE,,,TRAINING FOR ERPNEXT ASSET,USE OF ASSETS ERPNEXT to track costs and equipment. We need proceedures and training. ,Denzel,"FOR SCHEDULE. 
After Elimination of Paper MR/MRS and RR. 
for schedule with PID
241127 - IT will pilot their ASSET management. dec 11, will cascade findings in Jan 22. Target quarterly or Semi Annual. 
250212 - schedule with Denzel
251015 - for schedule
260206 - for schedule
260306 - Deferred to May 2026",2026-05-06,,,For Update. ,,
TRUE,,,AUDIT - Preparation,"INTERNAL AUDIT - NOV. 
EXTERNAL AUDIT - DEC",,meeting with the Dept. Assigning Team Leaders. ,2023-10-25,,,,,
TRUE,,,LASER TURRET DOWN TIME 231009,air is comming out nozzel instead of laser.,,"Starting of the Works on Varnishing Ducting and blower. 
Sanding room for reconfiguration",2023-10-11,,,,,
TRUE,2022-10-25,,DELIVERY TRUCK,"REQUEST OVERHAUL - WING VAN, TLE960, NCK1418, PSQ654, ","Elaine, Rommel, Rodel","Getting a NEW Quote from HINO Paranaque, vs HINO Cavite. 
Shedule for VISIT - Kris and Rey can visit the Body. ",2024-01-10,2024-01-10,,"how bad is our emissions? 3rd party will say how bad. 
Upon inquiry- Symptoms are: When a load is placed the Truck cannot effectively change. The engine is considered fine and working - observations the Clutch and the Gear Shift (Transmission /Gearbox) is failing to engage properly. 
Pressure plate was replaced. Now Fuel-Injection needs repair. ",,
TRUE,,,WH Expansion,Moving SUCAT WH to PLANT. retrofit Old sections like Machine Shop and Demolish the Grand Stand,,"250108 - Planning and Design. Quotation for Demolition. Visit of Makati TEchnical.
250115 -Arlene is in charge, include IT and maintenance in the PMO. 
250122 - ask for the timeline
250205 - Requesting Quote for Design and Build - Prefabricated
250219 - Smart House for visit - wait for the design. 
250226 - rebound test not good, concrete is strong but poorly design. 10-20. ? What are the standards. 
250305 - Z21 will visit and JCC will pass - fireproof wall 
250312 - JCC has given a quotation. 021 waiting for quotation. JAT888 waiting for quotation. 
250326 -021 waiting for Quotation and JAT888 waiting for quotation
250411 - follow of Quotation
250423 - 3 quotations - for presentations for Management Selection. 
250430 - revised quotation from J88 -
250514 - ?? Joing the Viber Group. Revised Quotation to sir Paul and Rey
250521 - Archi and Design - no as Built of our WH. for OJT. reviewing Services of Vendor for Structural and Archi
250528 - JCC updated Quotation. 
250604 - FFCruz will visit next week
250611 - Freyfil done visit (Waiting for quotation)
250625 - waiting for quotes
250702 - follow up FFC, 
250709 - 021 - and FFC - build and design. 
250716 - proposal of interested party
250723 - 2 others - clarify the WH requirements 23 x 26 space.
250730 - waiting for another bidder? 
250806 - 1,000 sqm target - USE nicco's plans - to plan the FreeStanding Mezzanine Placement OR racks management.  Include the cost of the RACKS. and the FOrklift for this
250813 - 2 more quotes Build and Design - RACK system like Royal Cago + High Mezzanine 3 level rack + High Mezzanine + LIft
250826 - JCC - construction. 1.3M Design fee , Design and Build - assessment of requirements and costs - without giving away the costs - Questions for the vendors. Let them defend their costs or update their assessments. 
250905 -Vendor Visitor 
250919 - CEC already visited
250926 - how many proposals? 
251008 - proposals status - 4 proposals (design and build) - 
251015 - for due diligence
251022 - updated proposals (for due diligence)
251029 - dont submit the other warehouse in the drawings, for quotation of WH., 
251105 - for quoting the Prefab
251112 - study the parts list - and the price. 
251125 - BOQ/BOM Submitted? - they need floor Plan/foot print. 
251204 - for downpayment - Dec 5 for release of the check. 
251210 - Specs of our Warehouses Existing ",2026-01-14,,,,,
TRUE,,,HEAT EXCHANGER,FOR MAINTENANCE,,"250226 - for quotation and for Exploring optimization - andress mayol +639176236296 
250305 - Aristotle for Scoping. Transportation C/o TC. 
250312 - Schedule for Occular - Email: CFD problem Aristotle Ubando <aristotle.ubando@dlsu.edu.ph>  - coordinate with Jonathan Transporation. Personal Email. Electrical Heat exchanger.
250326 - Follow up Sir ARIS (and recommendations). for CFD optimization in fusion 360
250402 - Follow up https://create-energyph.com/employee/dr-aristotle-t-ubando/ regarding the Consulting
250411 - Follow Up After Holy Week
250423 - Sched tomorrow
250430 - Sent the BRL design given - Floor Plan. No specs - 3D of the oven. High probably of As Built.  OVen Testing - Heat mapping. 
250514 - BRL floor paln - Oven Testing result - As Built Tayo - Paul Roxas. Temp ~ PRF. Scope 
250521 - BRL preventive maintenance of Conveyors and Heat Exchanger. For repair - INCLUDE SCOPE of design. 
250528 - As built design + replacement Heat Exchanger. Local fabricator. 
250611 - Waiting for As-built. Heat Exchanger for replacement 
250625 - Trial and error on Line one. 
250702 - follow up Dr Aris and assessment - then Get the timeline - 
250709 - Line 1 is calaocan - retrofit. 
250716 - ongoing the retrofitting of oldburner 
250723 - line one for fixing - retrofit heat exchanger of line 2. 
250806 - line one is working.  schedule the inspeciton of heat exchanger
250813 - heat exchanger is all clear - unknown where is the smoke. 
250826 - thermal analysis for the smoke. FOllowing up sir Ari - if sir aris cannot do it - CFD team will try. 
250905 - Line one - colors calibration - spare heat exchanger. Use Line one while Line 2 is being copied and cleaned
250919 - Need fully rehad, waiting for line 1 optimization
250926 - follow up the timeline
251008 - ongoing optimization - for scheduling - follow up the Thermal Camera. 
251015 - set schedule with painting dor the optimization of Line 1
251022 - schedule by November
251029 - Scope of Optimization of Heat Exchanger - clarify the scope - areas of improvement (Paints cost)
251105 - Line 2 improvement - costing of the new one 
251112 - responding to Aristotle. - for sending. 
251120 - heatsenze and need to find suppliers for the Electrical heating element. 
251126 - aris has no response, call his number and explain we want a smooth turnkey outcome               
251210 - 450k for quotation. 3D2GO, Tsuneishi Technical Services (Phils.),  
260107 - line 2 being repaired. Quotation 450k to 415k ",2026-01-14,,,,,
TRUE,,,Pulled Out and UnClaimed Finished Goods,For Encoding in the FG warehouse,,"Coordinate with Accounting in Record Keeping. 
Discuss with the Depts. on the FG that is idling in their Work Areas. How much and provide the paper work if any exists. 
For the Encoders to Record in our WH under Unclaimed FG WH. 
240724 Excess Materials Update 
221026 Stock Module Procedures
240807 Afer Unusued Items and Excess Materials have a Running process. 
241008 - target nov.
250205 - target march 2025 with the help of OJT. See ERPNEXT stocks notes. 
250625 - we will just identify it. ",2025-06-25,,,Automated - these FG items if they are not Transfered or used they are moved to a Designated. Will see if we can make a script that can do this. ,,
FALSE,,,Energy Monitoring Device,"Work with ECE studetns to design the energy monitoring system. 
ROEL of IOT - called yesterday - training. EMS documentation and Policy",,"Target Demo Of Power montiroing is JAN in TC. 
Which Areas do we want to Monitor: Breaker + Relays 
Get the Total Cost. 
NEW MEMO - DOE. 
Register Kris - Appointment Letter. 
Meeting with Roel to get the Costs - 
energy max - contact bern for updated documents for energy profiling.
NCO - kris has to fill it up first. 
CEM/CECO - was given to kris and John. 
 Smaller PCB is needed, new diodes. 
Follow up schedule for CEM Training 
Status of Compliance - 230517 Energy REGULATIONS FOR COMPLIANCE
https://chat.openai.com/share/aa126e8d-d407-4cec-94c1-0cb3520bd673 
Schedule with RJ/ANDREI - data on the Customized Area - 230517 Energy REGULATIONS FOR COMPLIANCE (Customized area ). 
Tentative Date MAy 2 2024 (240424)
What is required for the Design for the PLant Customized Department 240515
Being installed in 3F 240525
Planning - What trigger downtime and how long -  240529
240703 Ongoing, installation. for schedule Plant Customized design. 
240710 Onging being installed 3rd Floor. 
240724 paused due to flood.  
240731 for schedule the visit in the plant. 
240807 - After 3F Sensors are isntalled for Aircon and Lights. 
240821 - Audit by AN esco company. Getting Quote and Look for Vendors. 
240828 - for schedule. 
240904 - schedule visit of AA team for design. 
240912 - for schedule visit.  detail the requirements with RJ and Andrei. 
241008 - housing ongoing. building the devices, Upgraded laser Engraver for mass produciton. 
241016 - Visit on 241022 by RJ and Andrei 
241023 - rescheduled - mass production. for scheduling -  Housing for Device for production
241120 - Metal Housing For Schedule, Acrylic - for Schedule. 
241127 - Mass production - Schedule the Housing. AUTOAIR NCO http://58.71.12.134:8090/app/project/NCO%2024-0060%20AUTO%20AIR charge the Acrylics that will be used for Housing. Metal Housing - Quote and JO.
241211 - materials purchased
241218 - for schedule with AA team
250108 - Ask for Timeline
250122 - for Sched
250205 - OJT JRU - creation of Sensor for Solar 
250212 - Schedule Visit
250219 - For schedule
250305 - Follow AA
250312 - Follup Up - timeline
250326 - following up timeline
250411 - follow up AA
250423 - Follow up AA - deadline for report generated. check the reporting requirements
250430 - Follow up AA - ask them when they can set up the AAI (Industrial)
250521 - Sched for installation in May 29
250528 - RJ - All the Industrials Controllers are budget.  NCO - aeration unit. 
250625 - meeting with AA - GUI and report. Turn over UI. 
250702 - Metal follow Today, GUI schedule with Jun Valen and the team. 
250709 - electrical leakage - currently pull out . RCA - 
250716 - COC per section.
250723 - Ongoing Contract update with Comfac-it - to be continued. 
250806 - Metal is Next. MOA - 
250813 - GUI development and Installation. How many Controller and Sensors - Inventory of Equipment and locations. 
250826 - Sept every week there is an installed system. LCD being repaired. 
250905 - UI finished, testing of the new System. Ill ask RJ for timeline
250919 - Follow up RJ for the monitoring
250926 - Follow up RJ for timeline. 
251008 - next week Oct 15
251015 - Waiting for installation (251027)
251029 - Demo Nov 6
251112 - should be installed by Nov 14
251120 - 10 relays a week installed. When are they visiting. Energy reports due? 
251126 - follow up again. 
251205 - Getting a new Designer - 
251210 - PRF done. 
260107 - revluatioin of Embedded Systems. 
260206 - Deferred to March; for designing of weight sensor for trucks
260306 - ongoing, target week of March 16 2026
260318 - For Schedule with sir Jeff Gundran
260325 - For Site visit of Carl and other OJTs
260408 - Plant visit for the various ME Projects on April 10, 2026
260415 - for follow up targets c/o Carl Paloma
260422 - connection for machine utilization and sensors; target next week kickoff",2026-04-29,,,"1) REGISTRATION
2) CEM and CECO Schedule for Training. 
3) Monthly Report Format and Collection. Checklist of all the reports 
4) Coordinate with RJ and ANDREI timelines and isntallation. 
5) Formatting of the Reports needed. Example: Propose the Workstation Monitoring system based on Dept/Electrical panel and the Machines. Create an organization of the Electrical panel. 
for SCHEDULE training and colleciton of the manul 240403
Scheduled CEM 240417 target May 20-24 if need be physically send someone to sign up. 
Schedule AA visit 240417
240522 JULY 22-25 CEM Training 
240710 Escalate the Lack of Response to the Mother Corp. Use this as a matter to bring up with the Meralco people. 
ISO 50,000-1 energy management system. We'll base all our reports to the Gov't requirement. 
240724 paused due to Carina-Storm and will resume. Energy Audit - level one AUdit. 
240807 After 3F installation",,
TRUE,,,CARTON storage area,Being enclosed to prevent moisture and rotting and pests,,Ongoing Construction,2023-10-06,,,,,
TRUE,,,BIESSE ROVER A powersupply ,PSU failed again. ,,"PMC pulled out, still under warranty",2023-09-29,,,,,
TRUE,2023-09-21,,two tone color - ready for finishing. Kevin - proposed the color. ,For painting of the Warehouse. ,,Order more paints. Ongonig but almost done. ,2023-12-13,2023-12-13,,"2-tone is for the columns , the hlighter tone is for the warehouse. ",,
TRUE,,,ERPNEXT RR (STOCKS) Training,"Ongoing  Training for Purchase Reciept (RR), Quality Inspection, and Using the ERPNext reports. ",,"Quality Inspection Templates. 
Additional Quality Inspection Templates and Fields. 
Incoming - Purchase Analysis Report, Arrived - Purchase Reciept (RR) Report",2023-10-07,,,,,
